id,PXORDX,OLDPXORDX,CODETYPE,CCID,CONCEPTID,VOCABULARYID,DOMAINID,TRACK,STANCON,CODE,CODEWS,CODESCHEME,LONGDESC,SHORTDESC,CODESTATUS,CODECHANGE,CODECYEAR,CODEPTYPE,CODEBSTATUS,CODECCSTATUS,SEX_CD,ANATOC,POACS,POACC,POACCY,VALIDSD,VALIDED,INVALIDR,CREATE_DT
INSERT INTO Concepts2,D,D,I09,"3-dig nonbill code",44829696,ICD9CM,Condition,Medical,NULL,001,001,ICD9DIAG,Cholera,Cholera,I,Deleted,2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
3,D,D,I09,"4-dig billing code",44835564,ICD9CM,Condition,Medical,NULL,0010,001.0,ICD9DIAG,"Cholera due to vibrio cholerae","Cholera due to vibrio cholerae",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
4,D,D,I09,"4-dig billing code",44823922,ICD9CM,Condition,Medical,NULL,0011,001.1,ICD9DIAG,"Cholera due to vibrio cholerae el tor","Cholera due to vibrio cholerae el tor",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
5,D,D,I09,"4-dig billing code",44827441,ICD9CM,Condition,Medical,NULL,0019,001.9,ICD9DIAG,"Cholera, unspecified","Cholera, unspecified",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
6,D,D,I09,"3-dig nonbill code",44829697,ICD9CM,Condition,Medical,NULL,002,002,ICD9DIAG,"Typhoid and paratyphoid fevers","Typhoid and paratyphoid fevers",I,Deleted,2015,UP,N,N,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
7,D,D,I09,"4-dig billing code",44825090,ICD9CM,Condition,Medical,NULL,0020,002.0,ICD9DIAG,"Typhoid fever","Typhoid fever",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
8,D,D,I09,"4-dig billing code",44827442,ICD9CM,Condition,Medical,NULL,0021,002.1,ICD9DIAG,"Paratyphoid fever A","Paratyphoid fever a",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
9,D,D,I09,"4-dig billing code",44828622,ICD9CM,Condition,Medical,NULL,0022,002.2,ICD9DIAG,"Paratyphoid fever B","Paratyphoid fever b",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
10,D,D,I09,"4-dig billing code",44834380,ICD9CM,Condition,Medical,NULL,0023,002.3,ICD9DIAG,"Paratyphoid fever C","Paratyphoid fever c",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
11,D,D,I09,"4-dig billing code",44832029,ICD9CM,Condition,Medical,NULL,0029,002.9,ICD9DIAG,"Paratyphoid fever, unspecified","Paratyphoid fever, unspecified",A,"No change",2015,UP,Y,Y,NULL,C,N,"No change",2015,19700101,20991231,NULL,42005
